title,presenter,session,schedule
Semantic Meaningfulness: Evaluating Counterfactual Approaches for Real-World Plausibility and Feasibility,"Jacqueline Hollig, Aniek F. Markus, Jef de Slegte, Prachi Bagave",explanations-for-advice-giving-systems,Thu 2:30 pm - 3:30 pm
Weighted Mutual Information for Out-Of-Distribution Detection,"Giacomo De Bernardi, Sara Narteni, Enrico, Cambiaso, Marco Muselli, Maurizio Mongelli1",xai-for-trustworthy-and-responsible-ai,Thu 2:30 pm - 3:30 pm
Leveraging Group Contrastive Explanations for Handling Fairness,"Alessandro Castelnovo, Nicole Inverardi, Lorenzo Malandri, Fabio Mercorio, Mario Mezzanzanica, Andrea Seveso",xai-for-trustworthy-and-responsible-ai,Thu 2:30 pm - 3:30 pm
LUCID–GAN: Conditional Generative Models to Locate Unfairness,"Andres Algaba, Carmen Mazijn, Carina Prunkl, Jan Danckaert, Vincent Ginis",xai-for-trustworthy-and-responsible-ai,Thu 2:30 pm - 3:30 pm
The Importance of Distrust in AI,"Tobias M. Peters, Roel W. Visser",xai-for-trustworthy-and-responsible-ai,Thu 2:30 pm - 3:30 pm
Integrating GPT-technologies with Decision Models for Explainability,"Alexandre Goossens , Jan Vanthienen",explainable-interpretable-ai-with-argumentation,Thu 3:30 pm - 4:30 pm
Explainable Machine Learning via Argumentation,"Nicoletta Prentzas, Constantinos Pattichis. Antonis Kakas",explainable-interpretable-ai-with-argumentation,Thu 3:30 pm - 4:30 pm
A novel structured argumentation framework for improved explainability of classification tasks,Lucas Rizzo,explainable-interpretable-ai-with-argumentation,Thu 3:30 pm - 4:30 pm
Hardness of Deceptive Certificate Selection,Stephan Waldchen,explainable-interpretable-ai-with-argumentation,Thu 3:30 pm - 4:30 pm
An Interactive XAI Interface with Application in Healthcare for Non-experts,"Jingyu Hu, Yizhu Liang, Weiyu Zhao, Kevin McAreavey, and Weiru Liu",xai-in-health-care,Thu 3:30 pm - 4:30 pm
Federated Learning of Explainable Artificial Intelligence Models for Predicting Parkinson’s Disease Progression,"Jose Luis Corcuera Barcena, Pietro Ducange, Francesco Marcelloni, Alessandro Renda, and Fabrizio Ruffini",xai-in-health-care,Thu 3:30 pm - 4:30 pm
Color Shadows 2: Assessing the Impact of XAI on Diagnostic Decision-Making,"Chiara Natali, Lorenzo Famiglini, Andrea Campagner, Giovanni Andrea La Maida, Enrico Gallazzi, and Federico Cabitza",xai-in-health-care,Thu 3:30 pm - 4:30 pm
Selecting textural characteristics of chest X-Rays for pneumonia lesions classification with the integrated gradients XAI attribution method,"Oleksandr Davydko, Vladimir Pavlov, and Luca Longo",xai-in-health-care,Thu 3:30 pm - 4:30 pm
The Xi method: unlocking the mysteries of regression with Statistics,Valentina Ghidini,approaches-and-strategies-for-xai,Fri 9:30 am - 11:00 am
Do intermediate feature coalitions aid explainability of black-box models?,"Minal Suresh Patil, Kary Framling",approaches-and-strategies-for-xai,Fri 9:30 am - 11:00 am
Strategies to exploit XAI to improve classification systems,"Andrea Apicella, Luca Di Lorenzo, Francesco, Isgro, Andrea Pollastro, Roberto Prevete",approaches-and-strategies-for-xai,Fri 9:30 am - 11:00 am
Unfooling SHAP and SAGE: Knockoff Imputation for Shapley Values,"Kristin Blesch, Marvin N., Wright, David Watson",approaches-and-strategies-for-xai,Fri 9:30 am - 11:00 am
Beyond Prediction Similarity: ShapGAP for Evaluating Faithful Surrogate Models in XAI,"Ettore Mariotti, Adarsa Sivaprasad, Jose Maria Alonso Moral",approaches-and-strategies-for-xai,Fri 9:30 am - 11:00 am
Relating the Partial Dependence Plot and Permutation Feature Importance to the Data Generating Process,"Christoph Molnar, Timo Freiesleben, Gunnar Konig, Julia Herbinger, Tim Reisinger, Giuseppe Casalicchio, Marvin N. Wright, Bernd Bischl",methods-and-techniques-for-xai,Fri 9:30 am - 11:00 am
Sanity Checks for Saliency Methods Explaining Object Detectors,"Deepan Chakravarthi Padmanabhan, Paul G. Plöger, Octavio Arriaga, Matias, Valdenegro-Toro",methods-and-techniques-for-xai,Fri 9:30 am - 11:00 am
The Co-12 Recipe for Evaluating Interpretable Part-Prototype Image Classifiers,"Meike Nauta, Christin Seifert",methods-and-techniques-for-xai,Fri 9:30 am - 11:00 am
IxDRL: A Novel Explainable Deep Reinforcement Learning Toolkit based on Analyses of Interestingness,"Pedro Sequeira, Melinda Gervasio",methods-and-techniques-for-xai,Fri 9:30 am - 11:00 am
Reason to explain: Interactive contrastive explanations (REASONX),"Laura State, Salvatore Ruggieri, Franco Turini",methods-and-techniques-for-xai,Fri 9:30 am - 11:00 am
An Exploration of the Latent Space of a Convolutional Variational Autoencoder for theGeneration of Musical Instrument Tones,"Anastasia Natsiou, Sean O’Leary, and Luca Longo",representational-learning-and-concept-extraction-for-xai,Fri 3:00 pm - 4:00 pm
Improving local fidelity of LIME by CVAE,"Daisuke Yasui, Hirosh Sato, Masao Kubo",representational-learning-and-concept-extraction-for-xai,Fri 3:00 pm - 4:00 pm
Outcome-Guided Counterfactuals from a Jointly Trained Generative Latent Space,"Eric Yeh, Pedro Sequeira, Jesse Hostetler, Melinda Gervasio",representational-learning-and-concept-extraction-for-xai,Fri 3:00 pm - 4:00 pm
Scalable Concept Extraction in Industry 4.0,"Andres Felipe Posada-Moreno, Kai Muller, Florian Brillowski, Friedrich Solowjow, Thomas Gries, Sebastian Trimpe",representational-learning-and-concept-extraction-for-xai,Fri 3:00 pm - 4:00 pm
State Graph Based Explanation Approach for Black-box Time Series Model,"Yiran Huang, Chaofan Li, Hansen Lu, Till Riedel, Michael Beigl",xai-for-time-series,Fri 3:00 pm - 4:00 pm
A Deep Dive into Perturbationsas Evaluation Technique for Time Series XAI,"Udo Schlegel, Daniel A. Keim",xai-for-time-series,Fri 3:00 pm - 4:00 pm
Causal-based Spatio-Temporal Graph Neural Networks for Industrial Internet of Things Multivariate Time Series Forecasting,"Amir Miraki, Austeja Dapkute, Vytautas Siozinys, Martynas Jonaitis, Reza Arghandeh",xai-for-time-series,Fri 3:00 pm - 4:00 pm
Investigating the effect of pre-processing methods on model decision-making in EEG-based person identification,"Carlos Gómez Tapia, Bojan Bozic, Luca Longo",xai-for-time-series,Fri 3:00 pm - 4:00 pm
"Boundaries of research: scope, assumptions, limitations and delimitations",,doctoral-consortium-c,Fri 4:30 pm - 5:30 pm
Questions &amp; answers with professors &amp; post-docs,,doctoral-consortium-c,Fri 4:30 pm - 5:30 pm
Explainability in Practice: Estimating Electrification Rates from Mobile Phone Data in Senegal,"Laura State, Hadrien Salat, Stefania Rubrichi, Zbigniew Smoreda",applications-for-xai,Fri 4:30 pm - 5:30 pm
A Novel Architecture for Robust Explainable AI Approaches in Critical Object Detection Scenarios Based on Bayesian Neural Networks,"Daniel Gierse, Felix Neuburger, Thomas Kopinski1",applications-for-xai,Fri 4:30 pm - 5:30 pm
Is LIME appropriate to explain polypharmacy prediction model ?,"Lynda Dib, Richard Khoury",applications-for-xai,Fri 4:30 pm - 5:30 pm
Compare-xAI: Toward Unifying Functional Testing Methods for Post-hoc XAI Algorithms into a Multi-dimensional Benchmark,"Mohamed Karim Belaid, Richard Bornemann, Maximilian Rabus, Ralf Krestel, Eyke Hüllermeier",applications-for-xai,Fri 4:30 pm - 5:30 pm
Natural Example-Based Explainability: a Survey,"Antonin Poche, Lucas Hervier, Mohamed-Chafik Bakkay",surveys-benchmarks-and-visual-representations-for-xai,Fri 4:30 pm - 5:30 pm
Towards the Visualization of Aggregated Class Activation Maps to Analyse the Global Contribution of Class Features,"Igor Cheperanov, David Sessler, Alex Ulmer, Hendrik Lücke-Tieke, Jörn Kohlhammer",surveys-benchmarks-and-visual-representations-for-xai,Fri 4:30 pm - 5:30 pm
Contrastive Visual Explanations for Reinforcement Learning via Counterfactual Rewards,"Xiaowei Liu, Kevin McAreavey, Weiru Liu",surveys-benchmarks-and-visual-representations-for-xai,Fri 4:30 pm - 5:30 pm
Explainable Artificial Intelligence in Education: A Comprehensive Review,"Blerta Abazi Chaushi, Besnik Selimi, Agron Chaushi, Marika Apostolova",surveys-benchmarks-and-visual-representations-for-xai,Fri 4:30 pm - 5:30 pm
